Source Node,Destination Node,Out_d_source,in_d_source,out_d_dest, in_d_dest,Transitive_frnds,Out_d_common_frnds,in_d_common_frnds,Total_frnds,Jaccard_coeff,cosine
3360982.0,4457271.0,1964.0,111.0,242.0,87.0,30.0,71.0,16.0,2181.0,0.039889958734525444,0.00012743985058776138
4761876.0,4698439.0,123.0,68.0,0.0,13.0,0.0,0.0,0.0,184.0,0.0,0.0
4198430.0,3615486.0,6996.0,232.0,0.0,27.0,0.0,0.0,0.0,7091.0,0.0,0.0
2945770.0,747948.0,289.0,218.0,0.0,57.0,2.0,0.0,3.0,477.0,0.006289308176100629,0.00010380982040901069
3950088.0,3360335.0,1309.0,153.0,0.0,157.0,29.0,0.0,33.0,1477.0,0.02234258632362898,0.00014376955048053884
2483976.0,1928881.0,375.0,271.0,0.0,23.0,2.0,0.0,2.0,502.0,0.00398406374501992,0.00013460761879122358
2785328.0,2672575.0,150.0,6.0,0.0,105.0,1.0,0.0,0.0,255.0,0.0,0.0
385505.0,2877637.0,167.0,27.0,402.0,31.0,2.0,16.0,1.0,569.0,0.029876977152899824,0.00020237613390157376
4800097.0,1627742.0,498.0,52.0,0.0,17.0,0.0,0.0,0.0,545.0,0.0,0.0
1399778.0,3338838.0,266.0,69.0,0.0,13.0,0.0,0.0,0.0,285.0,0.0,0.0
178544.0,933485.0,1451.0,235.0,0.0,17.0,0.0,0.0,0.0,1473.0,0.0,0.0
3116667.0,3394409.0,118.0,6.0,0.0,12.0,0.0,0.0,0.0,134.0,0.0,0.0
4822324.0,3798666.0,100.0,22.0,0.0,12.0,0.0,0.0,0.0,116.0,0.0,0.0
1014631.0,34363.0,305.0,3.0,0.0,8.0,0.0,0.0,0.0,313.0,0.0,0.0
3637130.0,4624715.0,167.0,36.0,0.0,231.0,3.0,0.0,4.0,417.0,0.009592326139088728,8.530057791141535e-05
572186.0,3573892.0,2018.0,177.0,0.0,14.0,0.0,0.0,0.0,2048.0,0.0,0.0
4367817.0,848637.0,175.0,368.0,242.0,406.0,33.0,41.0,149.0,871.0,0.21814006888633755,0.0005399813564331674
2740302.0,4432643.0,156.0,1.0,0.0,79.0,0.0,0.0,0.0,235.0,0.0,0.0
697676.0,774739.0,175.0,13.0,0.0,24.0,0.0,0.0,0.0,205.0,0.0,0.0
233754.0,4372301.0,223.0,11.0,0.0,35.0,0.0,0.0,1.0,266.0,0.0037593984962406013,0.0001221001221001221
2356466.0,2928383.0,330.0,52.0,0.0,22.0,15.0,0.0,18.0,347.0,0.05187319884726225,0.002141837220371252
4511229.0,1707831.0,660.0,114.0,0.0,67.0,5.0,0.0,3.0,746.0,0.004021447721179625,5.785028346638898e-05
1334864.0,4734827.0,117.0,61.0,184.0,89.0,13.0,49.0,51.0,318.0,0.31446540880503143,0.002057867226406552
4823249.0,1941668.0,16383.0,333.0,0.0,4.0,1.0,0.0,1.0,16623.0,6.0157612945918305e-05,1.4955731036133046e-05
2495939.0,3611146.0,16383.0,1392.0,0.0,21.0,1.0,0.0,10.0,17733.0,0.0005639203744431286,2.6789900207621727e-05
4539933.0,3701998.0,289.0,88.0,0.0,98.0,0.0,0.0,0.0,450.0,0.0,0.0
2267515.0,299146.0,353.0,21.0,417.0,30.0,13.0,107.0,8.0,669.0,0.17189835575485798,0.0006878895548457333
414044.0,485185.0,162.0,60.0,0.0,15.0,0.0,0.0,0.0,186.0,0.0,0.0
1770141.0,3706320.0,2000.0,27.0,0.0,19.0,0.0,0.0,0.0,2024.0,0.0,0.0
4825426.0,2222470.0,325.0,100.0,0.0,11.0,4.0,0.0,3.0,351.0,0.008547008547008548,0.0006417112299465241
3571629.0,1964039.0,262.0,14.0,220.0,233.0,4.0,11.0,1.0,640.0,0.01875,9.597850081581725e-05
