Source Node,Destination Node,Label,Out_d_source,in_d_source,out_d_dest, in_d_dest,Transitive_frnds,Out_d_common_frnds,in_d_common_frnds,Total_frnds,Jaccard_coeff,cosine
266383.0,168485.0,1.0,774.0,68.0,0.0,274.0,28.0,0.0,16.0,1031.0,0.015518913676042677,6.935173466026319e-05
1599640.0,3153895.0,1.0,215.0,6.0,0.0,1.0,0.0,0.0,0.0,217.0,0.0,0.0
3529265.0,1119806.0,1.0,981.0,76.0,0.0,31.0,1.0,0.0,1.0,1012.0,0.0009881422924901185,3.051850947599719e-05
733850.0,1607201.0,1.0,852.0,74.0,37.0,136.0,4.0,0.0,4.0,1027.0,0.0038948393378773127,2.4969100737836927e-05
2596314.0,2926772.0,1.0,11.0,6.0,0.0,17.0,3.0,0.0,5.0,25.0,0.2,0.01730103806228374
2310453.0,3091554.0,0.0,359.0,11.0,0.0,1.0,0.0,0.0,0.0,370.0,0.0,0.0
3075594.0,2977000.0,0.0,43.0,4.0,0.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0
4445154.0,4863394.0,1.0,120.0,13.0,0.0,7.0,2.0,0.0,4.0,130.0,0.03076923076923077,0.004296455424274973
4861785.0,4310280.0,1.0,86.0,6.0,3707.0,210.0,0.0,2.0,0.0,3805.0,0.0005256241787122207,5.54994394556615e-06
689769.0,672133.0,1.0,383.0,24.0,0.0,1.0,0.0,0.0,0.0,385.0,0.0,0.0
2048923.0,4638242.0,1.0,1218.0,181.0,0.0,25.0,5.0,0.0,5.0,1269.0,0.003940110323089046,0.0001429592566118656
4742444.0,2916505.0,1.0,186.0,11.0,0.0,176.0,7.0,0.0,1.0,357.0,0.0028011204481792717,2.8841716658975542e-05
758515.0,2074332.0,0.0,120.0,4.0,0.0,5.0,0.0,0.0,0.0,126.0,0.0,0.0
3780296.0,3739167.0,1.0,24.0,3.0,0.0,121.0,0.0,0.0,0.0,147.0,0.0,0.0
4758386.0,2772054.0,1.0,1451.0,207.0,0.0,11.0,0.0,0.0,0.0,1549.0,0.0,0.0
